,university_name,program_name,tags,duration,tuition,start_date,description,state,city,world_ranking,disciplines,delivered,gpa,gre,toefl,ielts,credits,gpa_yn,university_tier_ranking,gmat_yn,ielts_yn,toefl_yn,gre_yn,fall_start_yn,spring_start_yn,summer_start_yn,desc_len,tuition_per_month
555,"""St. Mary's University""",Computer Information Systems, M.Sc. ,24.0,900.0,8/14/2020,master science computer information systems program st mary prepares students manage software development project analysis design implementation testing maintenance management quality budgets deliverables deadlines,Texas,San Antonio,,Computer Sciences,On Campus,,Not Required,80.0,6.0,38.0,0,5,0,1,1,0,1,0,0,214,37.5
560,Virginia Commonwealth University,Mathematical Sciences (Concentration in Statistics), M.Sc. ,12.0,27971.0,8/23/2020,department mathematics applied mathematics department statistical sciences operations research jointly offer mathematical sciences,Virginia,Richmond,201.0,Mathematics,On Campus,3.5,Required,80.0,6.5,36.0,1,3,0,1,1,1,1,0,0,130,2330.92
561,The University of Iowa,Biostatistics, M.Sc. ,24.0,30549.0,1/21/2021,ms phd biostatistics offered university iowa awarded graduate college instruction offered the college public health the ms offered without thesis,Iowa,Iowa City,161.0,Bio & Biomedical Engineering,On Campus,3,Not Required,100.0,7.0,30.0,1,2,0,1,1,0,0,1,0,145,1272.88
564,Duke University,Electrical and Computer Engineering (with concentration in Photonics), M.Eng. ,24.0,26770.0,8/20/2020,ece department photonics concentration focused application optical optoelectronic technologies information science photonic applications include information transmission fiber free space networks data storage disks volume media visible infrared imaging systems displays ,North Carolina,Durham,20.0,Electrical Engineering,nan,3,Not Required,0.0,7.0,36.0,1,1,0,1,1,0,1,0,0,270,1115.42
569,Grand Valley State University,Biostatistics, M.Sc. ,24.0,682.0,8/1/2020,grand valley state university master science biostatistics part grand rapids professional science master degree program member national professional science master association npsma ,Michigan,Allendale,,Statistics,On Campus,,Required,80.0,6.5,30.0,0,5,0,1,1,1,1,0,0,182,28.42
573,Christopher Newport University,Applied Physics and Computer Science, M.Sc. ,24.0,39440.0,8/7/2020,master science applied physics computer science built around core physics computer sciencecourses foundation three areas concentration computer science computer systems engineering instrumentation applied physics,Virginia,Newport News,,Computer Sciences,On Campus,2.5,Not Required,92.0,7.0,30.0,1,5,0,1,1,0,1,0,0,212,1643.33
574,Montclair State University,Statistics, M.Sc. ,24.0,1030.0,9/5/2020,department mathematical sciences offers master science degree statistics ms statistics developed students interested becoming practitioners statistics trained statistical methodology,New Jersey,Montclair,,Statistics,nan,,Not Required,83.0,6.5,36.0,0,5,1,1,1,0,1,0,0,182,42.92
575,University of Southern California,Statistics, M.Sc. ,12.0,57256.0,8/24/2021,university southern california offers masters science statistics department mathematics program provides students solid mathematical foundation statistical theory including probability theory emphasizing applications real world problems data increasingly data driven world,California,Los Angeles,55.0,Statistics,On Campus,,Not Required,90.0,6.5,30.0,0,2,0,1,1,0,1,0,0,272,4771.33
576,"University of California, Santa Barbara",Computer Science, M.Sc. ,12.0,27672.0,9/26/2021,computer science produced numerous innovations significantly changed lives personal computers internet web social networks smartphones tablets name many others wearable computing self driving vehicles horizon offer master degree computer science university california santa barbara ,California,Santa Barbara,41.0,Computer Sciences,On Campus,3,Not Required,80.0,7.0,30.0,1,1,0,1,1,0,1,0,0,282,2306.0
582,Temple University,Mathematics, M.Sc. ,36.0,1514.0,8/26/2020,study real life theoretical data master science mathematics temple university college science technology tight knit interdisciplinary program prepares students math focused careers education government industry mathematics ,Pennsylvania,Philadelphia,301.0,Mathematics,On Campus,,Required,79.0,6.5,36.0,0,3,0,1,1,1,1,0,0,223,42.06
583,University of Florida,Computer Science, M.Sc. ,24.0,30134.0,8/20/2020,department computer information science engineering concerned theory design development application computer systems information processing techniques computer science program offered university florida,Florida,Gainesville,95.0,Computer Sciences,On Campus,,Required,80.0,6.0,30.0,0,2,1,1,1,1,1,0,0,202,1255.58
