,university_name,program_name,tags,duration,tuition,start_date,description,state,city,world_ranking,disciplines,delivered,gpa,gre,toefl,ielts,credits,gpa_yn,university_tier_ranking,gmat_yn,ielts_yn,toefl_yn,gre_yn,fall_start_yn,spring_start_yn,summer_start_yn,desc_len,tuition_per_month
10,University of Massachusetts Dartmouth,Data Science, M.Sc. ,12.0,22183.0,4/15/2021,data science program university massachusetts dartmouth prepares leadership positions data analytics information management knowledge engineering jointly offered departments computer science engineering mathematics arts sciences,New York,New York City,191.0,Data Science & Big Data,On Campus,3,Required,0.0,0.0,30.0,1,2,0,1,1,1,0,1,0,228,1848.58
11,"University of California, Berkeley",Data Science, Master ,36.0,1700.0,6/10/2021,data everywhere e commerce sales app downloads smartphone supply chain management bioinformatics connected devices massive increase amount variety data collected translating exponential growth computer power needed process data learn join data science program university california berkeley,California,Berkeley,4.0,Statistics,Online,,Not Required,90.0,7.0,30.0,0,1,0,1,1,0,0,0,1,290,47.22
12,University of Wisconsin - Stevens Point,Data Science, M.Sc. ,24.0,842.0,8/26/2020,today data savvy professionals possess requisite skills computer science statistics applied mathematics visualization high demand,Wisconsin,Madison,,Data Science & Big Data,nan,,Required,73.0,5.5,36.0,0,5,1,1,1,1,1,0,0,129,35.08
13,"University of California, Berkeley",Data Science, Postgraduate Certificate ,36.0,1700.0,6/10/2021,data everywhere e commerce sales app downloads smartphone supply chain management bioinformatics connected devices massive increase amount variety data collected translating exponential growth computer power needed process data learn join data science program university california berkeley,California,Berkeley,4.0,Statistics,Online,3,Not Required,90.0,7.0,30.0,1,1,0,1,1,0,0,0,1,290,47.22
14,University of Wisconsin-Eau Claire,Data Science, M.Sc. ,12.0,1051.0,9/4/2020,master science data science course credit online master degree fast growing field data science program first online master degree data science offered uw system designed input industry leaders offers rigorous multidisciplinary curriculum grounded computer science math statistics management communication ,Wisconsin,Eau Claire,,Data Science & Big Data,Online,,Not Required,79.0,7.0,30.0,0,5,0,1,1,0,1,0,0,305,87.58
15,University of Maryland,Data Science and Analytics, Master ,24.0,39000.0,,mps data science analytics program university marylandprovides education theory practice data science including mathematical statistical foundations computational approaches communication considerations,Maryland,College Park,46.0,Data Science & Big Data,On Campus,,Required,96.0,7.0,10.0,0,1,0,1,1,1,0,0,0,202,1625.0
16,University of Rochester,Data Science, M.Sc. ,12.0,1784.0,8/25/2021,goergen institute data science offers stem accredited data science program university rochester well advanced certificate data science,New York,Rochester,125.0,Data Science & Big Data,On Campus,,Required,105.0,7.0,34.83512544802868,0,2,0,1,1,1,1,0,0,134,148.67
17,Bellevue University,Data Science, M.Sc. ,24.0,585.0,3/9/2021,data science program bellevue university designed prepare driver seat curate analyze make relevant discoveries large data sets ,Nebraska,Bellevue,,Data Science & Big Data,Online,,Not Required,71.0,0.0,10.0,0,5,0,1,1,0,0,1,0,127,24.38
18,New York University,Data Science, M.Sc. ,24.0,22272.0,9/2/2021,master science data science new york university highly selective program students strong background mathematics computer science applied statistics degree focuses development new methods data science,New York,New York City,28.0,Data Science & Big Data,On Campus,,Required,100.0,7.5,36.0,0,1,0,1,1,1,1,0,0,199,928.0
19,Lipscomb University,Data Science, Master ,12.0,1288.0,8/19/2020,data science program offered lipscomb universitydeals big data find insights new emerging types data content sought professional,Florida,Memphis,,Informatics & Information Sciences,On Campus,,Required,80.0,6.5,30.0,0,5,0,1,1,1,1,0,0,128,107.33
20,University of Massachusetts Dartmouth,Data Science, M.Sc. ,12.0,22183.0,4/15/2021,data science program university massachusetts dartmouth prepares leadership positions data analytics information management knowledge engineering jointly offered departments computer science engineering mathematics arts sciences,New York,New York City,191.0,Data Science & Big Data,On Campus,3,Required,0.0,0.0,34.83512544802868,1,2,0,1,1,1,0,1,0,228,1848.58
21,"University of California, Berkeley",Data Science, Master ,36.0,1700.0,6/10/2021,data everywhere e commerce sales app downloads smartphone supply chain management bioinformatics connected devices massive increase amount variety data collected translating exponential growth computer power needed process data learn join data science program university california berkeley,California,Berkeley,4.0,Statistics,Online,,Not Required,90.0,7.0,52.0,0,1,0,1,1,0,0,0,1,290,47.22
22,University of Wisconsin - Stevens Point,Data Science, M.Sc. ,24.0,842.0,8/26/2020,today data savvy professionals possess requisite skills computer science statistics applied mathematics visualization high demand,Wisconsin,Madison,,Data Science & Big Data,nan,,Required,73.0,5.5,30.0,0,5,1,1,1,1,1,0,0,129,35.08
23,"University of California, Berkeley",Data Science, Postgraduate Certificate ,36.0,1700.0,6/10/2021,data everywhere e commerce sales app downloads smartphone supply chain management bioinformatics connected devices massive increase amount variety data collected translating exponential growth computer power needed process data learn join data science program university california berkeley,California,Berkeley,4.0,Statistics,Online,3,Not Required,90.0,7.0,34.83512544802868,1,1,0,1,1,0,0,0,1,290,47.22
24,University of Wisconsin-Eau Claire,Data Science, M.Sc. ,12.0,1051.0,9/4/2020,master science data science course credit online master degree fast growing field data science program first online master degree data science offered uw system designed input industry leaders offers rigorous multidisciplinary curriculum grounded computer science math statistics management communication ,Wisconsin,Eau Claire,,Data Science & Big Data,Online,,Not Required,79.0,7.0,34.83512544802868,0,5,0,1,1,0,1,0,0,305,87.58
25,University of Maryland,Data Science and Analytics, Master ,24.0,39000.0,,mps data science analytics program university marylandprovides education theory practice data science including mathematical statistical foundations computational approaches communication considerations,Maryland,College Park,46.0,Data Science & Big Data,On Campus,,Required,96.0,7.0,30.0,0,1,0,1,1,1,0,0,0,202,1625.0
26,University of Missouri - Columbia,Data Science and Analytics, M.Sc. ,24.0,27090.0,8/19/2020,data scientists routinely leverage tools techniques computer science information systems advanced statistics machine learning satisfy growing need data scientist transform large collections data actionable decision making products employers proposing master science data science analytics ,Missouri,Columbia,151.0,Data Science & Big Data,nan,,Not Required,80.0,6.5,30.0,0,2,0,1,1,0,1,0,0,289,1128.75
27,DePaul University,Data Science, M.Sc. ,24.0,865.0,,data science master depaul university provide technical knowledge advanced computational skills meet emerging challenges big data analytics,Illinois,Chicago,1221.0,Data Science & Big Data,On Campus,,Not Required,80.0,6.5,30.0,0,4,0,1,1,0,0,0,0,139,36.04
28,University of Kentucky,Data Science, Master ,12.0,32564.0,,masters data science program university kentucky administered jointly three complementary programs computer science biostastics institute biomedical informatics,Kentucky,Lexington-Fayette,301.0,Data Science & Big Data,On Campus,,Not Required,79.0,6.5,34.83512544802868,0,3,0,1,1,0,0,0,0,160,2713.67
